"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000043953"	431.214728671271	0.0319711050908867	0.109357450494872	0.000604859802673208	0.232266164226512
"ENSMUSG00000047343"	33.9303525196063	-0.0873089882775071	0.282849911746711	0.000654607145958329	0.24151153055592
"ENSMUSG00000041193"	1415.14904620257	-0.0342396026975749	0.117943026504062	0.00065421787491133	0.24151153055592
"ENSMUSG00000080972"	33.6651945182921	0.082510370519951	0.268972939561005	0.0006918785466993	0.250353591051808
"ENSMUSG00000032487"	557.167781087386	0.0223062977521303	0.183838378192146	0.0007646249414961	0.25691398034269
"ENSMUSG00000065778"	111.372540698883	0.0417264963859551	0.142968733979644	0.000734001173005945	0.25691398034269
"ENSMUSG00000029838"	4986.69911460792	-0.0276108197849481	0.102995039755784	0.000752176062443682	0.25691398034269
"ENSMUSG00000058385"	458.646613918255	-0.0294977007374471	0.108790151955798	0.000757062417791853	0.25691398034269
"ENSMUSG00000026360"	29484.1102401022	0.0450395348502432	0.158273432054509	0.000833046612514231	0.27185678648384
"ENSMUSG00000034459"	1211.08819860083	-0.0588072276111438	0.201529131416435	0.000837993920921702	0.27185678648384
"ENSMUSG00000053318"	52.1507487611781	-0.0534852152210612	0.186984630215844	0.000870961086006747	0.277762776174626
"ENSMUSG00000037411"	391.866171260032	-0.0568931920993296	0.206684349632356	0.000960258832543236	0.301137169885559
"ENSMUSG00000015312"	5338.47441747679	0.0575671295155053	0.250651772643529	0.00106217788345296	0.31500047498215
"ENSMUSG00000022014"	253.000244455999	-0.0294466629166191	0.119395173111017	0.00107143018701411	0.31500047498215
"ENSMUSG00000022346"	1774.73111112967	0.0296750326426307	0.11878750551971	0.00102835669355528	0.31500047498215
"ENSMUSG00000097217"	35.2930164705935	0.0514404860659563	0.193069999448126	0.00103979272752737	0.31500047498215
"ENSMUSG00000084781"	32.6177199591105	0.0575599438754458	0.232961965223316	0.00110741949620885	0.318255882321066
"ENSMUSG00000048458"	350.819665569247	0.0285993717395338	0.117902994539523	0.00111633121987619	0.318255882321066
"ENSMUSG00000015944"	2257.30653323305	0.00833676730712966	0.0429510062057135	0.00113708590491972	0.319334453536858
"ENSMUSG00000037583"	1618.02981584342	0.0352203168164456	0.144340000954367	0.00122128210514122	0.333671215225941
"ENSMUSG00000030220"	353.866532435767	-0.0118686341050549	0.0592830847557979	0.00124599101298347	0.333671215225941
"ENSMUSG00000051048"	27.8817689001233	-0.047883734515468	0.195897434186763	0.00125906974282748	0.333671215225941
"ENSMUSG00000100075"	26.2020744007867	-0.0486407267312821	0.198134305023712	0.00124340731290039	0.333671215225941
"ENSMUSG00000039238"	245.597631037819	0.0422460209568799	0.174601955634398	0.00130630457036638	0.341380927722413
"ENSMUSG00000055172"	3651.53298787616	-0.0114923157492417	0.0590252603304397	0.00135788699698893	0.349965579273108
"ENSMUSG00000064901"	20.6084253646621	0.0478182075262635	0.20862646108514	0.00137635272460725	0.349965579273108
"ENSMUSG00000088705"	26.1380508159427	0.045109190227804	0.203452010265624	0.00148331323020871	0.371952907943698
"ENSMUSG00000067297"	166.464532362102	-0.0283621376494091	0.127669170869018	0.00150236081014674	0.371952907943698
"ENSMUSG00000024371"	1278.58523296833	-0.0118401677209489	0.0623672018109235	0.00152780077351964	0.373338952656435
"ENSMUSG00000074896"	444.755790998623	-0.0372903405772739	0.165582167927484	0.00154981640083188	0.373863402539136
"ENSMUSG00000101122"	66.1355724615341	0.0406121949254171	0.203059151023813	0.00170858264598373	0.396737048878873
"ENSMUSG00000027358"	1406.44874780515	0.00588692272378819	0.0354957854203792	0.00175006244988023	0.396737048878873
"ENSMUSG00000042659"	2227.85986361892	-0.015094261357848	0.077916303196542	0.00167346460696159	0.396737048878873
"ENSMUSG00000114282"	56.8493988945759	0.0329284644557303	0.153455257827814	0.00173731014739916	0.396737048878873
"ENSMUSG00000068246"	203.40667518492	-0.0306081229599681	0.142510552172191	0.00171259879833642	0.396737048878873
"ENSMUSG00000037692"	5191.77939206641	0.00675179107783766	0.0413437967364959	0.00194386463197165	0.43542567756165
"ENSMUSG00000081888"	39.4512816674355	-0.0281799210790226	0.139939300849705	0.00201522696878661	0.446100125231634
"ENSMUSG00000030149"	64.134871788872	-0.0306991102092069	0.153477631619412	0.00205552573550729	0.446960857652854
"ENSMUSG00000025409"	627.488626696741	0.0113586633545316	0.0651944124198041	0.00206662386350969	0.446960857652854
"ENSMUSG00000105096"	248.638015827438	-0.0323891729750761	0.166284349157145	0.00213108216854394	0.455664114583213
"ENSMUSG00000001864"	2058.36794291874	-0.0225623142799809	0.117369284276811	0.00217205611523587	0.457853982788436
"ENSMUSG00000032690"	246.680554712583	-0.0240602330778063	0.125059005497386	0.00221432357747383	0.457853982788436
"ENSMUSG00000097746"	114.022169266143	0.0313464438148535	0.162829055627648	0.00220169469023512	0.457853982788436
"ENSMUSG00000027962"	1565.17338225164	-0.0157068444081344	0.0878929130786203	0.00231891740961685	0.459521879373623
"ENSMUSG00000029561"	2369.29308308042	-0.0263371834942461	0.136901345770563	0.00225553802682235	0.459521879373623
"ENSMUSG00000001504"	20.4994396153469	0.0293654254494506	0.185032034862456	0.00227941496839417	0.459521879373623
"ENSMUSG00000085492"	226.956098838149	0.0233469946661306	0.123633102531173	0.00232007751597014	0.459521879373623
"ENSMUSG00000026064"	224.409743235953	0.029293960338257	0.182363912034606	0.00237601091011668	0.460897126646964
"ENSMUSG00000074580"	42.3973803880496	0.026035621777696	0.13790076265377	0.0023647405551784	0.460897126646964
"ENSMUSG00000057346"	277.380750709131	-0.0215725670799531	0.117713133576035	0.00247925687129813	0.47601731928924
"ENSMUSG00000106944"	80.6965459657862	0.0180908934338064	0.102639685131721	0.00262247963529231	0.490470299162507
"ENSMUSG00000030004"	52.8136378589863	-0.0211380589042557	0.117222937078896	0.00258701067001716	0.490470299162507
"ENSMUSG00000091705"	248.882240435345	-0.0283449778500124	0.173094733566492	0.00263273279206065	0.490470299162507
"ENSMUSG00000024338"	1495.23828196195	-0.022019762238146	0.124014056936108	0.00272951173144194	0.503514634694231
"ENSMUSG00000047631"	517.147241241051	-0.0137022308392769	0.082293482451967	0.00276149132400521	0.504468162645457
"ENSMUSG00000003283"	362.934290239087	-0.00893017584425292	0.0585743147771132	0.00294046486310971	0.529502829781863
